backend,request_batch,miss_rate,n_reads,io_size,queue_depth,round,submit_us,completion_us,bytes_read,correct,direct_path,error,phase,submission_group
Tutti-v0.1.1,1,0.067,137,4096,256,131,257.741,646.718,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,132,270.13,654.097,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,133,264.099,643.73,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,134,298.828,685.518,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,135,266.027,642.482,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,136,275.785,647.377,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,137,267.353,653.918,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,138,268.455,649.34,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,139,251.886,651.272,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,140,264.721,639.164,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,141,275.278,648.881,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,142,286.468,687.611,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,143,269.47,655.615,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,144,266.831,642.91,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,145,288.51,665.049,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,146,258.993,646.86,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,147,301.176,687.061,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,148,267.453,647.445,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,149,258.87,643.061,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,150,250.726,687.897,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,151,259.462,629.485,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,152,257.64,637.302,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,153,277.73,641.977,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,154,264.076,643.136,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,155,261.3,642.69,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,156,272.173,644.709,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,157,265.22,646.84,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,158,271.642,649.947,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,159,265.901,646.484,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,160,263.363,641.106,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,161,255.629,646.298,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,162,261.554,637.599,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,163,266.546,648.262,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,164,299.607,704.196,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,165,259.514,638.913,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,166,262.523,647.083,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,167,272.244,645.425,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,168,262.909,643.327,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,169,271.036,667.715,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,170,267.974,638.294,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,171,267.952,644.192,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,172,272.768,657.653,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,173,276.175,646.921,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,174,271.755,660.09,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,175,274.151,657.625,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,176,523.474,907.15,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,177,329.89,723.474,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,178,302.069,721.035,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,179,305.054,689.727,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,180,295.199,683.312,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,181,291.974,682.521,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,182,291.941,683.529,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,183,287.576,670.968,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,184,301.46,690.254,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,185,292.956,677.848,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,186,279.485,659.153,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,187,279.343,660.428,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,188,302.446,685.161,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,189,293.86,682.925,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,190,297.358,684.483,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,191,298.363,687.859,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,192,371.891,767.389,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,193,287.016,683.559,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,194,272.397,663.62,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,195,277.415,663.963,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,196,294.446,691.524,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,197,291.447,674.622,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,198,291.288,678.457,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,199,279.3,676.979,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,0,277.251,661.562,561152,true,public_local_nvme_gpu,,3,16
Tutti-v0.1.1,1,0.134,274,4096,256,0,624.58,1378.138,1122304,true,public_local_nvme_gpu,,2,16
Tutti-v0.1.1,1,0.134,274,4096,256,0,566.676,1328.465,1122304,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.134,274,4096,256,1,564.533,1343.216,1122304,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.134,274,4096,256,2,573.624,1362.267,1122304,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.134,274,4096,256,3,571.676,1336.061,1122304,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.134,274,4096,256,4,564.1,1309.523,1122304,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.134,274,4096,256,5,580.438,1360.269,1122304,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.134,274,4096,256,6,575.015,1325.686,1122304,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.134,274,4096,256,7,575.96,1371.5,1122304,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.134,274,4096,256,8,557.399,1325.564,1122304,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.134,274,4096,256,9,555.063,1324.91,1122304,true,public_local_nvme_gpu,,0,16
Tutti-v0.1.1,1,0.134,274,4096,256,0,563.858,1319.705,1122304,true,public_local_nvme_gpu,,1,16
